title,summary,link,date,source
What's happening with Trump's Tesla parked at White House?,The US president is considering selling his Tesla car - which he says he purchased when he was trying to help Musk promote his company.,https://www.bbc.com/news/videos/cly373y03p7o,2025-06-07,BBC Technology
Fans queue overnight for the launch of the Nintendo Switch 2,Nintendo's long-awaited Switch 2 has been released worldwide.,https://www.bbc.com/news/videos/cwy62lvng82o,2025-06-07,BBC Technology
How to cure your flying fears,It's safer than ever to fly - so why does air-travel anxiety seem so hard to overcome?,https://www.bbc.com/reel/video/p0lgcp1w/why-statistics-fail-to-cure-flying-fears,2025-06-07,BBC Technology
Never-before-seen images of our Universe,Inside the world’s largest digital camera revealing unseen corners of our Universe.,https://www.bbc.com/reel/video/p0lf3qdj/never-before-seen-images-of-our-universe,2025-06-07,BBC Technology
An inside look at how the Internet Archive saves the web,BBC reporter Lily Jamali heads behind the scenes of the non-profit organisation in San Francisco.,https://www.bbc.com/reel/video/p0ld1bpd/an-inside-look-at-how-the-internet-archive-saves-the-web,2025-06-07,BBC Technology
The machine aiming to recreate the sun's energy,Meet the 24-year-old who convinced former Pentagon officials to join his nuclear fusion project.,https://www.bbc.com/reel/video/p0l8ps8t/the-24-year-old-founder-taking-on-nuclear-fusion,2025-06-07,BBC Technology
Watch how rare sperm is found in IVF lab,We go inside a New York City lab developing new tech to increase IVF success rates for patients.,https://www.bbc.com/reel/video/p0l79j3y/watch-how-rare-sperm-is-found-in-ivf-lab,2025-06-07,BBC Technology
A reporter's quest for the perfect fragrance,An immersive experience floating through a 'scent galaxy' offers a different sense of reality.,https://www.bbc.com/reel/video/p0l4ktgg/the-tech-that-can-help-you-pick-better-perfumes,2025-06-07,BBC Technology
The bitcoin miners in rural Zambia,Tech Now visits Zambia to see how Bitcoin is helping to provide villagers with electricity.,https://www.bbc.com/reel/video/p0l3kppx/the-bitcoin-miners-in-rural-zambia,2025-06-07,BBC Technology
How Karen Dunbar helped craft her Bafta-winning video game character,The comedian won best supporting actor for her role as Finlay in Still Wakes the Deep.,https://www.bbc.com/news/videos/cr5dd2j6885o,2025-06-07,BBC Technology
What's inside a black hole?,Black holes are one of the mysteries of the universe where all the laws of nature as we know them stop working.,https://www.bbc.com/reel/video/p0l39967/what-s-inside-a-black-hole-,2025-06-07,BBC Technology
Will electric flight take off?,The Tech Now team take to the skies in Sweden to explore developments in electric flight to clean up air travel.,https://www.bbc.com/reel/video/p0l1tqzg/will-electric-flight-take-off-,2025-06-07,BBC Technology
Pupils studying esports in Scottish Borders school,The esports course serves as a starting point for learners who want a career in the sector.,https://www.bbc.com/news/videos/cvgp41z2rl7o,2025-06-07,BBC Technology
Using bubbles to remove forever chemicals from our water,BBC Click visits a UK research team working on a solution to remove toxic chemicals known as PFAS from water.,https://www.bbc.com/reel/video/p0kyqdqb/using-bubbles-to-remove-forever-chemicals-from-our-water,2025-06-07,BBC Technology
The open secret about rare earth minerals,"They are the focus of many diplomatic skirmishes, but how are rare earth minerals used and where are they found?",https://www.bbc.com/reel/video/p0kzpqzn/the-open-secret-about-rare-earth-minerals,2025-06-07,BBC Technology
Can smart phones get smarter?,BBC Click attends the Mobile World Congress to test the latest tech products and trends.,https://www.bbc.com/reel/video/p0kyxng6/can-smart-phones-get-smarter,2025-06-07,BBC Technology
Can technology help reduce Parkinson’s symptoms?,BBC Click visits a Madrid hospital to see patients treated with an ultrasound for tremors.,https://www.bbc.com/reel/video/p0kx88wb/can-technology-help-reduce-parkinson-s-symptoms-,2025-06-07,BBC Technology
How sex with Neanderthals changed us forever,We find out what we gained when Homo sapiens mated with Homo neanderthalensis many thousands of years ago.,https://www.bbc.com/reel/video/p0kytlx7/how-sex-with-neanderthals-changed-us-forever,2025-06-07,BBC Technology
The Lion King: How Mufasa was brought to life,BBC Click speaks to the visual effects team behind the latest Disney blockbuster.,https://www.bbc.com/reel/video/p0ksnjny/the-lion-king-how-mufasa-was-brought-to-life,2025-06-07,BBC Technology
A real-life flying car takes to the skies,"From science-fiction to the real world, flying cars are here - but could the concept actually take off?",https://www.bbc.com/news/videos/cx20nwlqe07o,2025-06-07,BBC Technology
